word,mean_supportive_with_word,mean_supportive_without_word,difference,p_value,word_count
terms,0.16666666666666666,0.2138727845596064,-0.04720611789293974,0.824623625850922,4
standards,0.1714285714285714,0.21888014832985675,-0.04745157690128535,0.5346197253020354,3
online,0.17452380952380953,0.22205362824109334,-0.04752981871728382,0.6302455270748887,7
dreams,0.17142857142857143,0.21937443558924516,-0.04794586416067373,0.6762404442054806,4
friend,0.1705667789001122,0.21939525148305744,-0.04882847258294523,0.4344545259253938,33
let,0.17056789428528105,0.21996253295304705,-0.049394638667766,0.5228733339693945,21
health,0.16666666666666666,0.2161162038218137,-0.04944953715514705,0.7960848923992466,11
tells,0.16911764705882354,0.21947072410465132,-0.05035307704582778,0.7028148665858376,4
number,0.16666666666666666,0.2183327689225785,-0.05166610225591184,0.7872828800879123,6
privacy,0.16666666666666666,0.21849313029539272,-0.05182646362872606,0.7389657313403111,2
regardless,0.16666666666666666,0.21849313029539272,-0.05182646362872606,0.8083959120858781,2
manipulate,0.16666666666666666,0.21849313029539272,-0.05182646362872606,0.8083959120858781,2
version,0.16666666666666666,0.21849313029539275,-0.05182646362872609,0.808395912085878,2
deleted,0.16666666666666666,0.21849313029539275,-0.05182646362872609,0.808395912085878,2
reply,0.16666666666666666,0.21849313029539275,-0.05182646362872609,0.808395912085878,2
ago,0.172606756330089,0.22465291037638335,-0.05204615404629434,0.400533521684439,17
burden,0.16666666666666666,0.2190274237348641,-0.052360757068197455,0.7845225557869607,3
act,0.16666666666666666,0.2190274237348641,-0.052360757068197455,0.7845225557869607,3
grade,0.16666666666666666,0.21902742373486414,-0.05236075706819748,0.7845225557869606,3
approved,0.16666666666666666,0.21902742373486414,-0.05236075706819748,0.7845225557869606,3
pick,0.16666666666666666,0.21902742373486414,-0.05236075706819748,0.7845225557869606,3
keeping,0.16666666666666666,0.21902742373486414,-0.05236075706819748,0.7845225557869606,3
terrified,0.16666666666666666,0.21902742373486414,-0.05236075706819748,0.7845225557869606,3
sounds,0.16666666666666666,0.21902742373486414,-0.05236075706819748,0.7845225557869606,3
hospital,0.16666666666666666,0.21902742373486414,-0.05236075706819748,0.7845225557869606,3
id,0.16666666666666666,0.21902742373486414,-0.05236075706819748,0.7845225557869606,3
affecting,0.1653297682709447,0.21852041393612173,-0.05319064566517703,0.6133013385601533,2
crush,0.16666666666666666,0.22058221521272245,-0.05391554854605579,0.7784506550946491,5
fast,0.1617421728815123,0.21603208173149208,-0.05428990884997978,0.46825401436763403,13
slowly,0.16517857142857142,0.2198415349112372,-0.05466296348266578,0.6209831184510509,6
ruining,0.16274864376130196,0.21914859970100944,-0.05639995593970748,0.5813858285493159,3
present,0.1515954207770064,0.2083249877889558,-0.056729567011949394,0.367097620857136,8
head,0.1660830999066293,0.22439671452159085,-0.05831361461496154,0.426243479251485,16
bf,0.16363636363636364,0.222011733134067,-0.05837536949770336,0.6323371323081991,6
sorry,0.16415075120957473,0.22337947322428972,-0.05922872201471499,0.3630761363242261,10
ghosted,0.16050420168067223,0.22045409572503638,-0.059949894044364155,0.5673046527784424,5
window,0.15865384615384615,0.21865665724463396,-0.06000281109078781,0.26827881834407974,2
mention,0.15961098398169332,0.21986683506619842,-0.060255851084505097,0.6006461927292359,4
person,0.16977784707736374,0.23026499535450168,-0.06048714827713794,0.30873470735717207,45
remember,0.1606060606060606,0.22146299546960949,-0.06085693486354887,0.5874741782368854,9
early,0.1607142857142857,0.2222815917669292,-0.06156730605264349,0.5506792071498944,7
desire,0.15757575757575756,0.21930858587169638,-0.06173282829593882,0.5347790816324285,3
